presentation_sequence,analysis_role,region_vantage,case_id,model_id,family_id,tier_id,position_id,repeat,included_in_primary_accuracy,automatic_retry_allowed
14,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r2,deepseek-v4-flash,single_record,950k,end,2,false,false
15,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:end:r3,deepseek-v4-flash,single_record,950k,end,3,false,false
16,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r1,deepseek-v4-flash,single_record,950k,middle,1,false,false
17,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r2,deepseek-v4-flash,single_record,950k,middle,2,false,false
18,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r3,deepseek-v4-flash,single_record,950k,middle,3,false,false
19,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:beginning:r1,deepseek-v4-pro,single_record,32k,beginning,1,false,false
20,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:beginning:r2,deepseek-v4-pro,single_record,32k,beginning,2,false,false
21,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:beginning:r3,deepseek-v4-pro,single_record,32k,beginning,3,false,false
22,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:end:r1,deepseek-v4-pro,single_record,32k,end,1,false,false
23,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:end:r2,deepseek-v4-pro,single_record,32k,end,2,false,false
24,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:end:r3,deepseek-v4-pro,single_record,32k,end,3,false,false
25,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:middle:r1,deepseek-v4-pro,single_record,32k,middle,1,false,false
26,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:middle:r2,deepseek-v4-pro,single_record,32k,middle,2,false,false
27,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:middle:r3,deepseek-v4-pro,single_record,32k,middle,3,false,false
28,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:beginning:r1,deepseek-v4-pro,single_record,950k,beginning,1,false,false
29,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:beginning:r2,deepseek-v4-pro,single_record,950k,beginning,2,false,false
30,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:beginning:r3,deepseek-v4-pro,single_record,950k,beginning,3,false,false
31,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:end:r1,deepseek-v4-pro,single_record,950k,end,1,false,false
32,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:end:r2,deepseek-v4-pro,single_record,950k,end,2,false,false
33,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:end:r3,deepseek-v4-pro,single_record,950k,end,3,false,false
34,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r1,deepseek-v4-pro,single_record,950k,middle,1,false,false
35,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r2,deepseek-v4-pro,single_record,950k,middle,2,false,false
36,india_latency_validation,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r3,deepseek-v4-pro,single_record,950k,middle,3,false,false
37,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:middle:r1:pilot:ap-south-1:e9a86153073a23cb,deepseek-v4-flash,event_ordering,32k,middle,1,false,false
38,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:middle:r1:pilot:ap-south-1:6e6ad6de1611b1f8,deepseek-v4-flash,latest_version,32k,middle,1,false,false
39,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:middle:r1:pilot:ap-south-1:892069766f9c93f4,deepseek-v4-flash,multi_hop_join,32k,middle,1,false,false
40,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r1:pilot:ap-south-1:6761fc410508b0b4,deepseek-v4-flash,single_record,32k,middle,1,false,false
41,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r1:pilot:ap-south-1:e3c669a2f8bc4070,deepseek-v4-flash,single_record,950k,middle,1,false,false
42,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:middle:r1:pilot:ap-south-1:e9a86153073a23cb,deepseek-v4-pro,event_ordering,32k,middle,1,false,false
43,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:middle:r1:pilot:ap-south-1:6e6ad6de1611b1f8,deepseek-v4-pro,latest_version,32k,middle,1,false,false
44,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:middle:r1:pilot:ap-south-1:892069766f9c93f4,deepseek-v4-pro,multi_hop_join,32k,middle,1,false,false
45,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:middle:r1:pilot:ap-south-1:6761fc410508b0b4,deepseek-v4-pro,single_record,32k,middle,1,false,false
46,pilot_excluded,ap-south-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r1:pilot:ap-south-1:e3c669a2f8bc4070,deepseek-v4-pro,single_record,950k,middle,1,false,false
47,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:middle:r1:pilot:us-east-1:a8f3f14ea88cee6b,deepseek-v4-flash,event_ordering,32k,middle,1,false,false
48,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:middle:r1:pilot:us-east-1:024bf57848d65bca,deepseek-v4-flash,latest_version,32k,middle,1,false,false
49,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:middle:r1:pilot:us-east-1:4ad37986d49d1705,deepseek-v4-flash,multi_hop_join,32k,middle,1,false,false
50,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:32k:middle:r1:pilot:us-east-1:71b49585536f6151,deepseek-v4-flash,single_record,32k,middle,1,false,false
51,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:single_record:950k:middle:r1:pilot:us-east-1:7d5cc0a363efff04,deepseek-v4-flash,single_record,950k,middle,1,false,false
52,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:event_ordering:32k:middle:r1:pilot:us-east-1:a8f3f14ea88cee6b,deepseek-v4-pro,event_ordering,32k,middle,1,false,false
53,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:latest_version:32k:middle:r1:pilot:us-east-1:024bf57848d65bca,deepseek-v4-pro,latest_version,32k,middle,1,false,false
54,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:multi_hop_join:32k:middle:r1:pilot:us-east-1:4ad37986d49d1705,deepseek-v4-pro,multi_hop_join,32k,middle,1,false,false
55,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:32k:middle:r1:pilot:us-east-1:71b49585536f6151,deepseek-v4-pro,single_record,32k,middle,1,false,false
56,pilot_excluded,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-pro:single_record:950k:middle:r1:pilot:us-east-1:7d5cc0a363efff04,deepseek-v4-pro,single_record,950k,middle,1,false,false
57,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:beginning:r1,deepseek-v4-flash,event_ordering,128k,beginning,1,true,false
58,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:beginning:r2,deepseek-v4-flash,event_ordering,128k,beginning,2,true,false
59,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:beginning:r3,deepseek-v4-flash,event_ordering,128k,beginning,3,true,false
60,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:end:r1,deepseek-v4-flash,event_ordering,128k,end,1,true,false
61,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:end:r2,deepseek-v4-flash,event_ordering,128k,end,2,true,false
62,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:end:r3,deepseek-v4-flash,event_ordering,128k,end,3,true,false
63,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:middle:r1,deepseek-v4-flash,event_ordering,128k,middle,1,true,false
64,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:middle:r2,deepseek-v4-flash,event_ordering,128k,middle,2,true,false
65,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:128k:middle:r3,deepseek-v4-flash,event_ordering,128k,middle,3,true,false
66,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:beginning:r1,deepseek-v4-flash,event_ordering,32k,beginning,1,true,false
67,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:beginning:r2,deepseek-v4-flash,event_ordering,32k,beginning,2,true,false
68,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:beginning:r3,deepseek-v4-flash,event_ordering,32k,beginning,3,true,false
69,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:end:r1,deepseek-v4-flash,event_ordering,32k,end,1,true,false
70,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:end:r2,deepseek-v4-flash,event_ordering,32k,end,2,true,false
71,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:end:r3,deepseek-v4-flash,event_ordering,32k,end,3,true,false
72,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:middle:r1,deepseek-v4-flash,event_ordering,32k,middle,1,true,false
73,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:middle:r2,deepseek-v4-flash,event_ordering,32k,middle,2,true,false
74,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:32k:middle:r3,deepseek-v4-flash,event_ordering,32k,middle,3,true,false
75,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:beginning:r1,deepseek-v4-flash,event_ordering,512k,beginning,1,true,false
76,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:beginning:r2,deepseek-v4-flash,event_ordering,512k,beginning,2,true,false
77,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:beginning:r3,deepseek-v4-flash,event_ordering,512k,beginning,3,true,false
78,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:end:r1,deepseek-v4-flash,event_ordering,512k,end,1,true,false
79,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:end:r2,deepseek-v4-flash,event_ordering,512k,end,2,true,false
80,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:end:r3,deepseek-v4-flash,event_ordering,512k,end,3,true,false
81,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:middle:r1,deepseek-v4-flash,event_ordering,512k,middle,1,true,false
82,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:middle:r2,deepseek-v4-flash,event_ordering,512k,middle,2,true,false
83,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:512k:middle:r3,deepseek-v4-flash,event_ordering,512k,middle,3,true,false
84,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:beginning:r1,deepseek-v4-flash,event_ordering,950k,beginning,1,true,false
85,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:beginning:r2,deepseek-v4-flash,event_ordering,950k,beginning,2,true,false
86,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:beginning:r3,deepseek-v4-flash,event_ordering,950k,beginning,3,true,false
87,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:end:r1,deepseek-v4-flash,event_ordering,950k,end,1,true,false
88,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:end:r2,deepseek-v4-flash,event_ordering,950k,end,2,true,false
89,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:end:r3,deepseek-v4-flash,event_ordering,950k,end,3,true,false
90,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:middle:r1,deepseek-v4-flash,event_ordering,950k,middle,1,true,false
91,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:middle:r2,deepseek-v4-flash,event_ordering,950k,middle,2,true,false
92,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:event_ordering:950k:middle:r3,deepseek-v4-flash,event_ordering,950k,middle,3,true,false
93,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:beginning:r1,deepseek-v4-flash,latest_version,128k,beginning,1,true,false
94,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:beginning:r2,deepseek-v4-flash,latest_version,128k,beginning,2,true,false
95,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:beginning:r3,deepseek-v4-flash,latest_version,128k,beginning,3,true,false
96,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:end:r1,deepseek-v4-flash,latest_version,128k,end,1,true,false
97,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:end:r2,deepseek-v4-flash,latest_version,128k,end,2,true,false
98,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:end:r3,deepseek-v4-flash,latest_version,128k,end,3,true,false
99,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:middle:r1,deepseek-v4-flash,latest_version,128k,middle,1,true,false
100,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:middle:r2,deepseek-v4-flash,latest_version,128k,middle,2,true,false
101,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:128k:middle:r3,deepseek-v4-flash,latest_version,128k,middle,3,true,false
102,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:beginning:r1,deepseek-v4-flash,latest_version,32k,beginning,1,true,false
103,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:beginning:r2,deepseek-v4-flash,latest_version,32k,beginning,2,true,false
104,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:beginning:r3,deepseek-v4-flash,latest_version,32k,beginning,3,true,false
105,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:end:r1,deepseek-v4-flash,latest_version,32k,end,1,true,false
106,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:end:r2,deepseek-v4-flash,latest_version,32k,end,2,true,false
107,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:end:r3,deepseek-v4-flash,latest_version,32k,end,3,true,false
108,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:middle:r1,deepseek-v4-flash,latest_version,32k,middle,1,true,false
109,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:middle:r2,deepseek-v4-flash,latest_version,32k,middle,2,true,false
110,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:32k:middle:r3,deepseek-v4-flash,latest_version,32k,middle,3,true,false
111,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:beginning:r1,deepseek-v4-flash,latest_version,512k,beginning,1,true,false
112,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:beginning:r2,deepseek-v4-flash,latest_version,512k,beginning,2,true,false
113,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:beginning:r3,deepseek-v4-flash,latest_version,512k,beginning,3,true,false
114,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:end:r1,deepseek-v4-flash,latest_version,512k,end,1,true,false
115,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:end:r2,deepseek-v4-flash,latest_version,512k,end,2,true,false
116,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:end:r3,deepseek-v4-flash,latest_version,512k,end,3,true,false
117,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:middle:r1,deepseek-v4-flash,latest_version,512k,middle,1,true,false
118,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:middle:r2,deepseek-v4-flash,latest_version,512k,middle,2,true,false
119,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:512k:middle:r3,deepseek-v4-flash,latest_version,512k,middle,3,true,false
120,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:beginning:r1,deepseek-v4-flash,latest_version,950k,beginning,1,true,false
121,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:beginning:r2,deepseek-v4-flash,latest_version,950k,beginning,2,true,false
122,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:beginning:r3,deepseek-v4-flash,latest_version,950k,beginning,3,true,false
123,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:end:r1,deepseek-v4-flash,latest_version,950k,end,1,true,false
124,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:end:r2,deepseek-v4-flash,latest_version,950k,end,2,true,false
125,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:end:r3,deepseek-v4-flash,latest_version,950k,end,3,true,false
126,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:middle:r1,deepseek-v4-flash,latest_version,950k,middle,1,true,false
127,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:middle:r2,deepseek-v4-flash,latest_version,950k,middle,2,true,false
128,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:latest_version:950k:middle:r3,deepseek-v4-flash,latest_version,950k,middle,3,true,false
129,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:beginning:r1,deepseek-v4-flash,multi_hop_join,128k,beginning,1,true,false
130,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:beginning:r2,deepseek-v4-flash,multi_hop_join,128k,beginning,2,true,false
131,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:beginning:r3,deepseek-v4-flash,multi_hop_join,128k,beginning,3,true,false
132,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:end:r1,deepseek-v4-flash,multi_hop_join,128k,end,1,true,false
133,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:end:r2,deepseek-v4-flash,multi_hop_join,128k,end,2,true,false
134,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:end:r3,deepseek-v4-flash,multi_hop_join,128k,end,3,true,false
135,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:middle:r1,deepseek-v4-flash,multi_hop_join,128k,middle,1,true,false
136,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:middle:r2,deepseek-v4-flash,multi_hop_join,128k,middle,2,true,false
137,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:128k:middle:r3,deepseek-v4-flash,multi_hop_join,128k,middle,3,true,false
138,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:beginning:r1,deepseek-v4-flash,multi_hop_join,32k,beginning,1,true,false
139,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:beginning:r2,deepseek-v4-flash,multi_hop_join,32k,beginning,2,true,false
140,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:beginning:r3,deepseek-v4-flash,multi_hop_join,32k,beginning,3,true,false
141,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:end:r1,deepseek-v4-flash,multi_hop_join,32k,end,1,true,false
142,primary_accuracy,us-east-1,deepseek-v4-long-context-retrieval-v1.1.0:deepseek-v4-flash:multi_hop_join:32k:end:r2,deepseek-v4-flash,multi_hop_join,32k,end,2,true,false
